venue,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,00:00,00:15,00:30,00:45,01:00,01:15,01:30
de poot,s.u.g.a.r,s.u.g.a.r,s.u.g.a.r,s.u.g.a.r,,,,,fit,fit,fit,fit,,,,,smag pa dig sely,smag pa dig sely,smag pa dig sely,smag pa dig sely,,,,,bug,bug,bug,bug,,,,,,,,,,,
zwarte ruiter,,,,,,,,,,barbee,barbee,barbee,,,,clamm,clamm,clamm,,,,zahn,zahn,zahn,,,,beach bones,beach bones,beach bones,,,,split dogs,split dogs,split dogs,,,
concordia,,,,,,,,,mojo and the kitchen brothers,mojo and the kitchen brothers,mojo and the kitchen brothers,,,,bongloard,bongloard,bongloard,,,,maria iskariot,maria iskariot,maria iskariot,,,,the chisel,the chisel,the chisel,,,,arse,arse,arse,,,,
gr8,,,,,,,,,,,,,,,,,magic tom&yuri,magic tom&yuri,magic tom&yuri,,,,,,magic tom&yuri,magic tom&yuri,magic tom&yuri,,,,,,,,,,,,
the grey space,,,,,,,,,,,,,,m.u.g,m.u.g,m.u.g,,,,c'est qui?,c'est qui?,c'est qui?,,,,cheapo cheapo,cheapo cheapo,cheapo cheapo,,,,bloed,bloed,bloed,,,,,
the grey space bar,,,,,,,,,,,,,,,,,,hard tegen hard,hard tegen hard,,,,,hard tegen hard,hard tegen hard,,,,,,,,,,,,,,
paard cafe,,,,,,,,ultragoblin,ultragoblin,ultragoblin,,,,ego dreams,ego dreams,ego dreams,,,,clitteband,clitteband,clitteband,,,,oh boland,oh boland,oh boland,,,,punchbag,punchbag,punchbag,,,,,
paard kleine zaal,,,,,,,,,,,,,,,chattermag,chattermag,chattermag,chattermag,,,,,doflame,doflame,doflame,doflame,,,,,doodseskader,doodseskader,doodseskader,doodseskader,,,,,
paard grolsh zaal,,,,,,,,,,,,,,sneurf surfer rosa bleedroot kram!,sneurf surfer rosa bleedroot kram!,sneurf surfer rosa bleedroot kram!,sneurf surfer rosa bleedroot kram!,,,,dool,dool,dool,dool,,,,,kid kapichi,kid kapichi,kid kapichi,kid kapichi,,,,,,,
koorenhuis foyer,,,,,,,,,,,,the klittens,the klittens,the klittens,,,,,marcel,marcel,marcel,,,,,silverbacks,silverbacks,silverbacks,,,,,blowers,blowers,blowers,,,,
koorenhuis,,,,,,,,,plonki,plonki,plonki,,,,,grote geelstaart,grote geelstaart,grote geelstaart,,,,,swim school,swim school,swim school,,,,,hotwax,hotwax,hotwax,,,,,,,
